layer,input_index,output_index,weight
fc2.weight,53,3,0
fc2.weight,54,3,-334
fc2.weight,55,3,0
fc2.weight,56,3,-507
fc2.weight,57,3,0
fc2.weight,58,3,163
fc2.weight,59,3,-386
fc2.weight,60,3,0
fc2.weight,61,3,533
fc2.weight,62,3,-351
fc2.weight,63,3,-889
fc2.weight,0,4,0
fc2.weight,1,4,0
fc2.weight,2,4,0
fc2.weight,3,4,0
fc2.weight,4,4,0
fc2.weight,5,4,0
fc2.weight,6,4,0
fc2.weight,7,4,0
fc2.weight,8,4,0
fc2.weight,9,4,0
fc2.weight,10,4,0
fc2.weight,11,4,0
fc2.weight,12,4,0
fc2.weight,13,4,0
fc2.weight,14,4,0
fc2.weight,15,4,0
fc2.weight,16,4,0
fc2.weight,17,4,0
fc2.weight,18,4,0
fc2.weight,19,4,0
fc2.weight,20,4,0
fc2.weight,21,4,0
fc2.weight,22,4,0
fc2.weight,23,4,0
fc2.weight,24,4,0
fc2.weight,25,4,0
fc2.weight,26,4,0
fc2.weight,27,4,0
fc2.weight,28,4,0
fc2.weight,29,4,0
fc2.weight,30,4,0
fc2.weight,31,4,0
fc2.weight,32,4,0
fc2.weight,33,4,0
fc2.weight,34,4,0
fc2.weight,35,4,0
fc2.weight,36,4,0
fc2.weight,37,4,0
fc2.weight,38,4,0
fc2.weight,39,4,0
fc2.weight,40,4,0
fc2.weight,41,4,0
fc2.weight,42,4,0
fc2.weight,43,4,0
fc2.weight,44,4,0
fc2.weight,45,4,0
fc2.weight,46,4,0
fc2.weight,47,4,0
fc2.weight,48,4,0
fc2.weight,49,4,0
fc2.weight,50,4,0
fc2.weight,51,4,0
fc2.weight,52,4,0
fc2.weight,53,4,0
fc2.weight,54,4,0
fc2.weight,55,4,0
fc2.weight,56,4,0
fc2.weight,57,4,0
fc2.weight,58,4,0
fc2.weight,59,4,0
fc2.weight,60,4,0
fc2.weight,61,4,0
fc2.weight,62,4,0
fc2.weight,63,4,0
fc2.weight,0,5,0
fc2.weight,1,5,0
fc2.weight,2,5,0
fc2.weight,3,5,0
fc2.weight,4,5,0
fc2.weight,5,5,0
fc2.weight,6,5,0
fc2.weight,7,5,0
fc2.weight,8,5,0
fc2.weight,9,5,0
fc2.weight,10,5,0
fc2.weight,11,5,0
fc2.weight,12,5,0
fc2.weight,13,5,0
fc2.weight,14,5,0
fc2.weight,15,5,0
fc2.weight,16,5,0
fc2.weight,17,5,0
fc2.weight,18,5,0
fc2.weight,19,5,0
fc2.weight,20,5,0
fc2.weight,21,5,0
fc2.weight,22,5,0
fc2.weight,23,5,0
fc2.weight,24,5,0
fc2.weight,25,5,0
fc2.weight,26,5,0
fc2.weight,27,5,0
fc2.weight,28,5,0
fc2.weight,29,5,0
fc2.weight,30,5,0
fc2.weight,31,5,0
fc2.weight,32,5,0
fc2.weight,33,5,0
fc2.weight,34,5,0
fc2.weight,35,5,0
fc2.weight,36,5,0
fc2.weight,37,5,0
fc2.weight,38,5,0
fc2.weight,39,5,0
fc2.weight,40,5,0
fc2.weight,41,5,0
fc2.weight,42,5,0
fc2.weight,43,5,0
fc2.weight,44,5,0
fc2.weight,45,5,0
fc2.weight,46,5,0
fc2.weight,47,5,0
fc2.weight,48,5,0
fc2.weight,49,5,0
fc2.weight,50,5,0
fc2.weight,51,5,0
fc2.weight,52,5,0
fc2.weight,53,5,0
fc2.weight,54,5,0
fc2.weight,55,5,0
fc2.weight,56,5,0
fc2.weight,57,5,0
fc2.weight,58,5,0
fc2.weight,59,5,0
fc2.weight,60,5,0
fc2.weight,61,5,0
fc2.weight,62,5,0
fc2.weight,63,5,0
fc2.weight,0,6,116
fc2.weight,1,6,-1015
fc2.weight,2,6,-456
fc2.weight,3,6,-906
fc2.weight,4,6,0
fc2.weight,5,6,-108
fc2.weight,6,6,-2398
fc2.weight,7,6,378
fc2.weight,8,6,-3197
fc2.weight,9,6,-656
fc2.weight,10,6,-320
fc2.weight,11,6,1305
fc2.weight,12,6,-1158
fc2.weight,13,6,8
fc2.weight,14,6,1999
fc2.weight,15,6,-3492
fc2.weight,16,6,403
fc2.weight,17,6,0
fc2.weight,18,6,-151
fc2.weight,19,6,-33
fc2.weight,20,6,17
fc2.weight,21,6,2311
fc2.weight,22,6,-1677
fc2.weight,23,6,-2674
fc2.weight,24,6,1495
fc2.weight,25,6,535
fc2.weight,26,6,977
fc2.weight,27,6,941
fc2.weight,28,6,-1654
fc2.weight,29,6,4975
fc2.weight,30,6,682
fc2.weight,31,6,523
fc2.weight,32,6,0
fc2.weight,33,6,0
fc2.weight,34,6,593
fc2.weight,35,6,2265
fc2.weight,36,6,592
fc2.weight,37,6,162
fc2.weight,38,6,0
fc2.weight,39,6,454
fc2.weight,40,6,262
fc2.weight,41,6,830
fc2.weight,42,6,1090
fc2.weight,43,6,652
fc2.weight,44,6,559
fc2.weight,45,6,67
fc2.weight,46,6,0
fc2.weight,47,6,-160
fc2.weight,48,6,0
fc2.weight,49,6,1411
fc2.weight,50,6,-1059
fc2.weight,51,6,-468
fc2.weight,52,6,0
fc2.weight,53,6,0
fc2.weight,54,6,591
fc2.weight,55,6,0
fc2.weight,56,6,-531
fc2.weight,57,6,0
fc2.weight,58,6,36
fc2.weight,59,6,1514
fc2.weight,60,6,0
fc2.weight,61,6,-2075
fc2.weight,62,6,206
fc2.weight,63,6,3472
fc2.weight,0,7,-228
fc2.weight,1,7,462
fc2.weight,2,7,586
fc2.weight,3,7,-259
fc2.weight,4,7,0
fc2.weight,5,7,787
fc2.weight,6,7,118
fc2.weight,7,7,-178
fc2.weight,8,7,-552
fc2.weight,9,7,262
fc2.weight,10,7,-745
fc2.weight,11,7,-464
fc2.weight,12,7,-332
fc2.weight,13,7,573
fc2.weight,14,7,-625
fc2.weight,15,7,-165
fc2.weight,16,7,654
fc2.weight,17,7,0
fc2.weight,18,7,-3462
fc2.weight,19,7,49
fc2.weight,20,7,-428
fc2.weight,21,7,-1071
fc2.weight,22,7,1433
